team,GP,W,FG_PCT,FG3_PCT,FT_PCT,PF,TOV,OFF_RATING,DEF_RATING,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_FT,clutch_type
MIL,39,21,0.397,0.219,0.686,1.9,1.2,90.3,104.9,0.576,0.173,0.252,last5min_plusminus_5point
GSW,25,16,0.417,0.293,0.833,2.0,1.1,108.6,102.6,0.457,0.284,0.259,last5min_plusminus_5point
MIN,45,15,0.394,0.289,0.719,2.3,1.1,97.3,111.6,0.541,0.198,0.261,last5min_plusminus_5point
MIA,44,21,0.396,0.323,0.728,2.4,1.2,98.1,108.9,0.494,0.28,0.226,last5min_plusminus_5point
ATL,44,26,0.454,0.337,0.755,1.8,1.0,113.4,100.4,0.465,0.235,0.301,last5min_plusminus_5point
BOS,49,32,0.452,0.347,0.877,2.2,0.9,123.2,108.4,0.41,0.26,0.33,last5min_plusminus_5point
DET,37,15,0.407,0.317,0.613,2.2,0.8,103.0,115.0,0.513,0.326,0.161,last5min_plusminus_5point
NYK,43,19,0.432,0.429,0.763,2.2,1.0,109.7,109.4,0.523,0.288,0.189,last5min_plusminus_5point
DEN,40,16,0.367,0.229,0.746,2.0,0.9,100.5,109.7,0.479,0.201,0.32,last5min_plusminus_5point
DAL,41,19,0.459,0.287,0.773,1.6,1.0,105.2,111.8,0.5,0.26,0.24,last5min_plusminus_5point
BKN,41,13,0.392,0.311,0.831,2.3,0.9,103.8,121.2,0.421,0.331,0.247,last5min_plusminus_5point
POR,47,23,0.429,0.317,0.818,2.3,1.5,108.7,104.4,0.487,0.219,0.294,last5min_plusminus_5point
OKC,42,26,0.442,0.359,0.744,2.1,0.8,116.7,96.8,0.484,0.277,0.239,last5min_plusminus_5point
TOR,49,25,0.453,0.271,0.738,1.9,0.7,110.4,99.2,0.586,0.192,0.222,last5min_plusminus_5point
CLE,36,23,0.453,0.392,0.756,2.1,1.0,121.1,107.0,0.357,0.393,0.251,last5min_plusminus_5point
SAS,43,29,0.427,0.396,0.777,1.6,1.0,115.9,94.4,0.395,0.3,0.305,last5min_plusminus_5point
CHA,51,22,0.445,0.376,0.802,1.8,0.8,117.3,124.5,0.404,0.373,0.224,last5min_plusminus_5point
UTA,45,27,0.489,0.43,0.765,1.6,0.8,121.6,104.4,0.441,0.3,0.259,last5min_plusminus_5point
CHI,42,23,0.385,0.278,0.917,2.0,0.6,112.0,102.9,0.477,0.222,0.301,last5min_plusminus_5point
HOU,41,23,0.409,0.3,0.763,2.0,1.0,108.7,111.2,0.343,0.327,0.33,last5min_plusminus_5point
WAS,55,32,0.47,0.379,0.807,1.9,0.8,121.2,104.8,0.497,0.207,0.296,last5min_plusminus_5point
LAL,43,14,0.421,0.258,0.748,1.9,0.6,109.0,125.1,0.471,0.25,0.279,last5min_plusminus_5point
PHI,44,21,0.411,0.352,0.836,2.5,1.6,99.8,114.5,0.42,0.262,0.319,last5min_plusminus_5point
MEM,46,24,0.417,0.357,0.757,2.3,1.1,109.1,100.1,0.449,0.3,0.251,last5min_plusminus_5point
LAC,34,20,0.405,0.333,0.638,1.9,0.9,105.7,103.1,0.455,0.239,0.307,last5min_plusminus_5point
SAC,49,24,0.41,0.318,0.756,2.6,1.3,101.6,110.1,0.471,0.242,0.286,last5min_plusminus_5point
ORL,39,18,0.391,0.31,0.772,2.2,0.8,103.9,113.8,0.475,0.247,0.278,last5min_plusminus_5point
PHX,50,17,0.423,0.278,0.786,2.4,0.9,107.2,123.4,0.538,0.169,0.292,last5min_plusminus_5point
IND,38,22,0.414,0.272,0.77,2.1,0.9,104.4,109.4,0.499,0.223,0.279,last5min_plusminus_5point
NOP,44,17,0.371,0.269,0.736,2.3,1.1,96.5,97.7,0.492,0.207,0.301,last5min_plusminus_5point
